attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
False,,,11:00,,,,,11:00,False,False,none,False,,False,5UmKMjUEUNdYWqANhGckJw,False,,11:00,False,"['Fast Food', 'Restaurants']",False,11:00,Mr Hoagie,False,False,,,,,,1,False,False,,,4,,PA,True,21:00,False,False,True,"4734 Lebanon Church Rd
Dravosburg, PA 15034",21:00,,False,,,False,,,False,False,21:00,,True,Dravosburg,,,4.5,,business,False,False,40.3543266,False,,-79.9007057,21:00,,21:00,,True,False,,,,,False,,False,,,False,,11:00,average,,casual,,True,[],,False,,False
,,,,,,,,,,False,none,,,False,SQ0j7bgSTazkVQlF5AnqyQ,,,,,"['Chinese', 'Restaurants']",False,,Don Don Chinese Restaurant,False,,,,,,,1,,False,,,9,,PA,True,,,False,True,"214 E Main St
Carnegie
Carnegie, PA 15106",,,,,,,,,,True,,,True,Carnegie,,,2.5,,business,,,40.4083473,,,-80.0849615,,,,,True,False,,,,,True,,,,,,,,quiet,,casual,,False,['Carnegie'],,,,
False,,,00:00,,,,,00:00,False,False,none,False,,False,wqu7ILomIOPSduRwoWp4AQ,False,,00:00,True,"['American (Traditional)', 'Restaurants']",True,00:00,Denny's,False,False,,,,,,1,False,False,,,9,,PA,True,00:00,False,False,True,"2180 Greentree Rd
Pittsburgh, PA 15220",00:00,,False,,,False,00:00,,False,False,00:00,no,True,Pittsburgh,,,4.0,,business,False,False,40.39114,False,,-80.073788,00:00,,00:00,00:00,True,False,00:00,,,,False,00:00,False,,,,,00:00,average,,casual,,True,[],,False,,False
False,,,11:00,,,,,11:00,False,True,full_bar,False,,True,P1fJb2WQ1mXoiudj8UE44w,False,,11:00,False,"['Restaurants', 'Italian']",True,11:00,Papa J's,True,False,,,,,,2,False,False,,,64,,PA,True,23:00,False,False,True,"200 E Main St
Carnegie
Carnegie, PA 15106",22:00,,False,,,True,11:00,,False,False,22:00,no,True,Carnegie,True,,3.5,,business,True,False,40.4081422,True,,-80.0851737,22:00,,22:00,23:00,True,False,11:00,,,,True,21:00,True,,,,,11:00,average,,casual,,True,['Carnegie'],,False,,False
False,,,00:00,,,,,00:00,True,False,none,False,,True,6ilJq_05xRgek_8qUp36-g,False,,00:00,False,"['Burgers', 'Fast Food', 'Restaurants']",True,00:00,Steak 'n Shake,False,False,,,,,,1,False,False,,,48,,PA,True,00:00,False,False,True,"650 E  Waterfront Dr
Homestead
Munhall, PA 15120",00:00,,False,,,False,00:00,,False,False,00:00,no,True,Munhall,True,,2.0,,business,False,False,40.413496,False,,-79.9044562,00:00,,00:00,00:00,True,False,00:00,,,,False,00:00,True,,,True,,00:00,average,,casual,,True,['Homestead'],,False,,False
False,,,,,,,,,False,False,none,False,,False,W7ysp8GLCBrs0GXIVwAcBQ,False,,,False,"['Burgers', 'Fast Food', 'Restaurants']",False,,Wendy's,False,False,,,,,,1,False,False,,,5,,PA,True,,False,False,True,"610 William Marks Way
Homestead
Homestead, PA 15120",,,False,,,False,,,False,False,,free,True,Homestead,True,,2.0,,business,,False,40.4097098,False,,-79.9017997,,,,,True,False,,,,,,,False,,,True,,,quiet,,casual,,True,['Homestead'],,False,,False
,,,11:00,,,,,11:00,,,,,,,-taSf0shFSUKy9iCXnySsA,,,11:00,,"['Pizza', 'Restaurants']",,11:00,Italian Village Pizza,,,,,,,,,,,,,4,,PA,,00:00,,,,"2615 Main St
Homestead, PA 15120",23:00,,,,,,11:00,,,,23:00,,True,Homestead,,,2.5,,business,,,40.3925524,,,-79.9000102,23:00,,23:00,00:00,,,11:00,,,,,00:00,,,,,,11:00,,,,,,[],,,,
False,,,11:00,,,,,11:00,False,False,none,False,,False,TfvWSIAMFZ9zI3y2-K6wOA,False,,11:00,False,"['Chinese', 'Restaurants']",False,11:00,The Dragon Chinese Cuisine,False,False,,,,,,1,False,False,,,5,,PA,True,22:30,False,False,True,"3360 Main St
Munhall, PA 15120",22:00,,False,,,False,11:00,,False,False,22:00,no,True,Munhall,True,,3.5,,business,,False,40.3868368,False,,-79.9029475,22:00,,22:00,22:30,True,False,12:00,,,,False,22:00,False,,,,,11:00,average,,casual,,False,[],,False,,False
False,,,,,,,,,,False,,False,,False,uLnDFdn011hEroQQMLmxNQ,False,,,,"['Pizza', 'Restaurants']",False,,The Pizza Company,False,False,,,,,,1,,False,,,8,,PA,,,,False,True,"3502 Main St
Munhall, PA 15120",,,,,,False,,,False,True,,,True,Munhall,,,3.5,,business,,False,40.3857182,,,-79.9032997,,,,,True,False,,,,,,,False,,,,,,loud,,casual,,True,[],,False,,False
,,,,,,,,,,,,,,,CL3tZqbYT7B5zgewKCS6-Q,,,,,"['Burgers', 'Fast Food', 'Restaurants']",,,McDonald's,,,,,,,,,,,,,3,,PA,False,,,,False,"Kennywood & Hoffman
West Mifflin, PA 15122",,,,,,,,,,False,,,True,West Mifflin,,,1.0,,business,,,40.3849854,,,-79.8626605,,,,,False,,,,,,,,,,,,,,,,,,False,[],,,,
